id,session_id,case_id,trial_type,condition,category,initial_findings,initial_confidence,revised_findings,revised_confidence,ai_helpful,xai_helpful,xai_faithful,xai_view_selected,changed_mind,response_time_pre_ms,response_time_post_ms,bias_banner_dismissed,time_on_banner_ms,created_at,xai_overlay_finding,ground_truth,ai_preds
50e03190-a8d0-4848-9709-29881fb18209,c441fd3a-2158-44e7-a31d-68ab29632857,fx-08,main,B,hard,"[""cardiomegaly"",""pleural_effusion"",""edema""]",86,"[""cardiomegaly"",""pleural_effusion"",""edema""]",91,83,,,,false,63324,37603,,,2026-04-23 15:59:52.513503+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.92,""atelectasis"":0.56,""cardiomegaly"":0.96,""pneumothorax"":0.01,""consolidation"":0.64,""pleural_effusion"":0.86}"
522c6e95-a803-477e-91e3-febf12072917,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-13,main,E,easy,"[""cardiomegaly"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]",54,"[""cardiomegaly"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]",53,57,neutral,yes,original,true,77927,106861,,,2026-04-22 15:05:26.493876+00,,"[""edema""]","{""edema"":0.72,""atelectasis"":0.12,""cardiomegaly"":0.27,""pneumothorax"":0.01,""consolidation"":0.13,""pleural_effusion"":0.02}"
5ddab443-fc3c-423a-998d-61758f7f7842,c441fd3a-2158-44e7-a31d-68ab29632857,fx-05,main,A,incidental,"[""pleural_effusion""]",89,,,,,,,,40608,,,,2026-04-23 15:54:24.396195+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.3,""atelectasis"":0.45,""cardiomegaly"":0.24,""pneumothorax"":0.99,""consolidation"":0.62,""pleural_effusion"":0.65}"
5fe9eedd-3055-4473-aa8e-8b992b8e6c6f,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-12,main,D,incidental,"[""cardiomegaly"",""consolidation"",""pleural_effusion"",""atelectasis"",""edema""]",60,"[""cardiomegaly"",""consolidation"",""pleural_effusion"",""atelectasis"",""edema""]",58,63,misleading,no,gradcam,false,82236,75551,false,,2026-04-22 15:02:21.653051+00,pleural_effusion,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.7,""atelectasis"":0.54,""cardiomegaly"":0.33,""pneumothorax"":0.59,""consolidation"":0.55,""pleural_effusion"":0.73}"
645efb64-1773-4731-84e4-c6f164ff0451,c441fd3a-2158-44e7-a31d-68ab29632857,baseline-04,baseline,A,baseline,"[""pneumothorax""]",86,,,,,,,,51440,,,,2026-04-23 15:40:56.823843+00,,[],{}
64d7bb02-4b04-44b8-b3bd-03babc3653f8,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-08,main,C,hard,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]",53,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]",57,57,neutral,yes,original,false,37837,54083,,,2026-04-22 14:47:21.905167+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.92,""atelectasis"":0.56,""cardiomegaly"":0.96,""pneumothorax"":0.01,""consolidation"":0.64,""pleural_effusion"":0.86}"
681f364c-cdcb-4568-aa5d-6d001d8788a5,27931682-1071-4a19-a46c-50b4a188d17f,fx-07,main,B,easy,"[""consolidation""]",62,"[""consolidation"",""pleural_effusion""]",57,56,,,,true,43166,14551,,,2026-04-24 10:31:10.453682+00,,"[""consolidation""]","{""edema"":0.65,""atelectasis"":0.35,""cardiomegaly"":0.54,""pneumothorax"":0.12,""consolidation"":0.83,""pleural_effusion"":0.56}"
68a9d3b3-5266-4334-9ccd-ef3f5e419576,c441fd3a-2158-44e7-a31d-68ab29632857,fx-09,main,B,ai_wrong,[],75,[],76,60,,,,false,61804,54039,,,2026-04-23 16:04:09.733828+00,,[],"{""edema"":0.23,""atelectasis"":0.59,""cardiomegaly"":0.2,""pneumothorax"":0.52,""consolidation"":0.43,""pleural_effusion"":0.13}"
75175415-ce52-4d5e-aa2c-a4bc3ab7056e,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-01,main,A,easy,"[""edema"",""pleural_effusion"",""pneumothorax"",""consolidation""]",53,,,,,,,,69570,,,,2026-04-22 14:23:30.344146+00,,"[""edema""]","{""edema"":0.95,""atelectasis"":0.49,""cardiomegaly"":0.31,""pneumothorax"":0.03,""consolidation"":0.33,""pleural_effusion"":0.08}"
7a350453-70b9-4de3-b8bb-fb263268c2e9,27931682-1071-4a19-a46c-50b4a188d17f,bonus-02,bonus,B,hard,"[""cardiomegaly"",""pleural_effusion"",""edema""]",54,"[""cardiomegaly"",""pleural_effusion"",""edema""]",59,60,,,,false,21251,9649,,,2026-04-24 10:35:46.920617+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.76,""atelectasis"":0.65,""cardiomegaly"":0.93,""pneumothorax"":0.03,""consolidation"":0.59,""pleural_effusion"":0.6}"
